keyword,volume,cpc,competition,position,source,competitor,keyword_difficulty
amazon prime,24900000,0.019999999552965164,0.14000000059604645,31,competitor,justwatch.com,68
hulu,5000000,3.7200000286102295,0.07000000029802322,68,competitor,justwatch.com,72
peacock streaming service,5000000,0.9399999976158142,0,36,competitor,justwatch.com,46
youtube.tv,5000000,0.46000000834465027,0.11999999731779099,69,competitor,justwatch.com,55
disneyplus,4090000,0.5099999904632568,0.23999999463558197,13,competitor,justwatch.com,82
peacock,4090000,0.20000000298023224,0.14000000059604645,24,competitor,justwatch.com,61
warrior,4090000,2.3299999237060547,0,64,competitor,justwatch.com,69
prime videos,3350000,0.20000000298023224,0.1599999964237213,13,competitor,justwatch.com,90
streaming service,3350000,5.769999980926514,0.009999999776482582,30,competitor,justwatch.com,100
streaming services,3350000,5.769999980926514,0.009999999776482582,37,competitor,justwatch.com,100
amazon prime video,2740000,0.12999999523162842,0.14000000059604645,21,competitor,justwatch.com,82
amazon video prime video,2740000,0.12999999523162842,0.14000000059604645,26,competitor,justwatch.com,58
hbo max,2740000,0.1599999964237213,0.18000000715255737,51,competitor,justwatch.com,93
hulu streaming,2740000,2.2100000381469727,0,56,competitor,justwatch.com,71
tubi,2740000,0.8999999761581421,0.019999999552965164,16,competitor,justwatch.com,58
crunchyroll,2240000,0.12999999523162842,0.20000000298023224,34,competitor,justwatch.com,67
apple t v,1830000,0.44999998807907104,0.20000000298023224,60,competitor,justwatch.com,80
apple tv,1830000,0.44999998807907104,0.20000000298023224,62,competitor,justwatch.com,100
arrival,1830000,0.7799999713897705,0.05999999865889549,36,competitor,justwatch.com,53
arrival 2016,1830000,0.7799999713897705,0.05999999865889549,56,competitor,justwatch.com,53
arrival film,1830000,0.7799999713897705,0.05999999865889549,40,competitor,justwatch.com,46
arrival movie,1830000,0.7799999713897705,0.05999999865889549,42,competitor,justwatch.com,46
netflix streaming,1830000,2.930000066757202,0,15,competitor,justwatch.com,100
28 years later movie,1500000,0.8999999761581421,0,47,competitor,justwatch.com,32
adam sandler,1500000,1.2000000476837158,0,33,competitor,justwatch.com,58
amazon prime video streaming,1500000,0.2199999988079071,0,27,competitor,justwatch.com,82
amazon video streaming,1500000,0.2199999988079071,0,17,competitor,justwatch.com,48
fubo,1500000,0.6499999761581421,0.17000000178813934,56,competitor,justwatch.com,74
fubo tv,1500000,0.6499999761581421,0.17000000178813934,30,competitor,justwatch.com,73
fubo.tv,1500000,0.6499999761581421,0.17000000178813934,66,competitor,justwatch.com,73
fubotv,1500000,0.6499999761581421,0.17000000178813934,49,competitor,justwatch.com,76
lifetime,1500000,1.25,0.07999999821186066,99,competitor,justwatch.com,62
netflix streaming service,1500000,3.8399999141693115,0,16,competitor,justwatch.com,87
stranger things season 5,1500000,0.3199999928474426,0,38,competitor,justwatch.com,56
the pitt,1500000,1.5399999618530273,0,68,competitor,justwatch.com,59
the pitts,1500000,1.5399999618530273,0,65,competitor,justwatch.com,34
thunderbolt,1500000,1,0.019999999552965164,63,competitor,justwatch.com,68
twin peaks tv show,1500000,0.23999999463558197,0.029999999329447746,42,competitor,justwatch.com,38
f1 movie,1220000,3.950000047683716,0.029999999329447746,53,competitor,justwatch.com,59
fandango,1220000,0.27000001072883606,0.2199999988079071,30,competitor,justwatch.com,53
hbo,1220000,0.09000000357627869,0.1599999964237213,21,competitor,justwatch.com,88
pluto tv,1220000,0.10000000149011612,0.20999999344348907,16,competitor,justwatch.com,37
the housemaid,1220000,2.059999942779541,0.05000000074505806,44,competitor,justwatch.com,42
the housemaid film,1220000,2.059999942779541,0.05000000074505806,38,competitor,justwatch.com,28
